,default,amt_overdue,gender,days_overdue,age,noise_1,noise_2
0,0.0,45,1.0,4,25,0.07899874246483451,0.05234887846493508
1,0.0,48,1.0,0,20,0.41561895730442533,0.9829868019509098
2,0.0,65,1.0,3,23,0.2801527036458702,0.973615678978798
3,0.0,68,1.0,3,23,0.8730600822531035,0.03790687262069925
4,0.0,68,1.0,3,27,0.45598852244037225,0.6906766624873415
5,0.0,10,1.0,1,29,0.5026819139939294,0.03317956185390214
6,0.0,22,1.0,3,23,0.32349868207036203,0.9418842246881429
7,0.0,37,1.0,2,25,0.36527036149949277,0.1486382351652079
8,0.0,71,1.0,4,22,0.7618436054639103,0.005665756423062551
9,0.0,13,1.0,0,24,0.5691329774448274,0.32419757310368036
10,0.0,59,1.0,0,27,0.3608501552307458,0.6516098976422601
11,0.0,66,1.0,4,26,0.78490426350834,0.8489988915424908
12,0.0,40,1.0,2,28,0.3174900568341117,0.35638623037201944
13,0.0,47,1.0,1,28,0.37861425370903057,0.521833680882694
14,0.0,38,1.0,0,21,0.9359632930845909,0.8310634910504568
15,0.0,26,1.0,1,26,0.022001054190779024,0.06127713087256059
16,0.0,78,1.0,1,27,0.8904705317793207,0.3661631653268731
17,0.0,73,1.0,0,27,0.8738999713463003,0.8276807470413837
18,0.0,10,1.0,1,28,0.6536819600856165,0.2622364777568401
19,0.0,21,1.0,4,21,0.3464530218279661,0.017520266862953604
20,0.0,70,1.0,3,25,0.6620587580521791,0.9956095614946049
21,0.0,48,1.0,0,29,0.12748839814831525,0.06639645047779918
22,0.0,65,1.0,3,28,0.47482450277263755,0.3952844322632032
23,0.0,50,1.0,0,29,0.24621808578945859,0.7450167877438504
24,0.0,30,1.0,2,24,0.38978915169935935,0.08123880908612235
25,0.0,20,1.0,3,23,0.5376455598274934,0.8973640120893275
26,0.0,20,1.0,0,20,0.16332504873722475,0.4749972629097783
27,0.0,15,1.0,1,23,0.48032147727119523,0.01813371489645299
28,0.0,40,1.0,3,25,0.0037868759403939523,0.8621303228971691
29,0.0,33,1.0,3,20,0.09604993624295677,0.893161548618824
30,0.0,66,1.0,3,22,0.9726261901554645,0.5333353538294863
31,0.0,10,1.0,0,23,0.7385289454092357,0.6667279520105709
32,0.0,58,1.0,1,28,0.31585861227712153,0.27902528353418476
33,0.0,33,1.0,1,21,0.579793395528708,0.8897849722540293
34,0.0,32,1.0,1,23,0.9785093761461343,0.855873397105954
35,0.0,75,1.0,0,23,0.37054035655107165,0.779276889550656
36,0.0,24,1.0,2,23,0.3644624020069295,0.1421988187329024
37,0.0,36,1.0,4,27,0.9128098397741571,0.725784847159991
38,0.0,76,1.0,3,20,0.43375790867197517,0.014151682508980912
39,0.0,56,1.0,3,21,0.5092406170811472,0.9870939380741214
40,0.0,29,1.0,2,29,0.7062917590769228,0.49555419859909444
41,0.0,35,1.0,4,29,0.9086985124719723,0.44735944456836607
42,0.0,1,1.0,2,20,0.5354434928319733,0.3996953797078149
43,0.0,1,1.0,0,24,0.5684186326550279,0.10969836518260423
44,0.0,37,1.0,0,27,0.10088790150680926,0.8926319306106721
45,0.0,54,1.0,4,23,0.37364136309321183,0.33149042460419686
46,0.0,6,1.0,0,22,0.44145544149932014,0.7618223903511118
47,0.0,39,1.0,4,27,0.9368878256239198,0.7710859782906485
48,0.0,18,1.0,1,22,0.35421175574169383,0.7789640989490608
49,0.0,5,1.0,4,20,0.4712039038651601,0.9038519251793479
50,0.0,43,1.0,1,20,0.8952369529445282,0.6788148877030913
51,0.0,59,1.0,2,24,0.9005075155162648,0.5790085977386134
52,0.0,32,1.0,2,25,0.8072990067269399,0.19110766982309202
